tweet_id,creation_date,text,username,name,follower_count,following_count,number_of_tweets,is_verified,is_blue_verified,location,favorite_count,retweet_count,quote_count,reply_count,retweet,video_view_count,in_reply_to_status_id,quoted_status_id
1636408026939932674,Thu Mar 16 16:44:11 +0000 2023,It’s kinda flattering to be insulted on this site tbh,elonmusk,Elon Musk,133012041,186,24007,True,False,,146223,9751,2514,15766,False,,,
1636264167681163264,Thu Mar 16 07:12:32 +0000 2023,"You can ring my bell, ring my bell",elonmusk,Elon Musk,133012041,186,24007,True,False,,113650,8098,1661,16389,False,,,
1636253162423083009,Thu Mar 16 06:28:48 +0000 2023,Mis An Thropic Thunder,elonmusk,Elon Musk,133012041,186,24007,True,False,,35309,2533,284,3420,False,,,
1636162726140493825,Thu Mar 16 00:29:27 +0000 2023,"Microsoft fired their AI safety team?
https://t.co/bp5vde1clm",elonmusk,Elon Musk,133012041,186,24007,True,False,,72548,12034,1238,8256,False,,,
1636087168023121922,Wed Mar 15 19:29:12 +0000 2023,Starlink now offers global roaming,SpaceX,SpaceX,28624898,100,6725,True,False,"Hawthorne, CA",74064,8496,588,5623,False,,,1636082103438934016
1635885881633431552,Wed Mar 15 06:09:22 +0000 2023,https://t.co/ddmLSmOGb0,elonmusk,Elon Musk,133012041,186,24007,True,False,,434133,36910,2987,14288,False,,,
1635874573819191298,Wed Mar 15 05:24:26 +0000 2023,Funny cause it’s true https://t.co/FuIFx4Xuaq,elonmusk,Elon Musk,133012041,186,24007,True,False,,151954,19638,1397,6944,False,,,
1635850008141414400,Wed Mar 15 03:46:49 +0000 2023,https://t.co/CbxRg9r88U,elonmusk,Elon Musk,133012041,186,24007,True,False,,102052,9957,1042,7094,False,,,
1635826648431067137,Wed Mar 15 02:13:59 +0000 2023,Falcon 9 launches Dragon to the @space_station https://t.co/mGKZYW0pEa,SpaceX,SpaceX,28624898,100,6725,True,False,"Hawthorne, CA",32650,3810,148,1010,True,,,
1635803956533399553,Wed Mar 15 00:43:49 +0000 2023,"Dragon separation confirmed; autonomous docking with the @space_station on Thursday, March 16 at ~7:52 a.m. ET https://t.co/f46gQX7jLy",SpaceX,SpaceX,28624898,100,6725,True,False,"Hawthorne, CA",19510,2065,107,747,True,1109118.0,,
1635699420326133760,Tue Mar 14 17:48:26 +0000 2023,Parents don’t realize the Soviet level of indoctrination that their children are receiving in elite high schools &amp; colleges!,aaronsibarium,Aaron Sibarium,42205,4410,20917,False,False,"Washington, DC",172691,35536,2304,13862,False,,,1635633773143371779
1635689626739544064,Tue Mar 14 17:09:31 +0000 2023,"The intent is for this site to be fair &amp; impartial, favoring no party, seeking only the least wrong truth.",elonmusk,Elon Musk,133012041,186,24007,True,False,,118541,14972,1661,15402,False,,,1635510381874667520
1635510381874667520,Tue Mar 14 05:17:16 +0000 2023,"Fight for truth, whole truth &amp; nothin but!",CommunityNotes,Community Notes,287102,0,316,True,False,,81220,10471,836,8145,False,,,1635491237439602691
1635338519421022209,Mon Mar 13 17:54:20 +0000 2023,"Regenerative braking turns our motors into generators, converting kinetic energy into electricity—recharging your Tesla's battery &amp; slowing down the vehicle

Using the motors instead of friction brake means brake pads last longer &amp; need to be replaced less frequently",tesla_europe,Tesla Europe,19102,9,50,False,False,Europe & the Middle East,19274,1999,139,1514,True,,1634977627965644801,1635161267576115202
1634751765311569920,Sun Mar 12 03:02:47 +0000 2023,Yay!!,SpaceX,SpaceX,28624898,100,6725,True,False,"Hawthorne, CA",107191,8362,474,7961,False,4728218.0,,1634736729159499776
1634723111642750976,Sun Mar 12 01:08:56 +0000 2023,“These are the good old days!” – frens,elonmusk,Elon Musk,133012041,186,24007,True,False,,92350,8837,1169,9052,False,,,
1634720380580691968,Sun Mar 12 00:58:05 +0000 2023,Watch Dragon and Crew-5 return to Earth → https://t.co/bJFjLCiTbK https://t.co/BKA0lxCI1f,SpaceX,SpaceX,28624898,100,6725,True,False,"Hawthorne, CA",19098,3023,143,1127,True,,,
1634521244442689539,Sat Mar 11 11:46:47 +0000 2023,The sum of a cult should be greater than the parts/prophets/profits,elonmusk,Elon Musk,133012041,186,24007,True,False,,75537,7597,1064,9903,False,,,
1634461442832232449,Sat Mar 11 07:49:09 +0000 2023,Crew-5 is returning to Earth after undocking from the station in the @SpaceX Dragon Endurance at 2:20am ET. @NASA TV coverage of deorbit and splashdown resumes at 8pm ET. More details.. https://t.co/VHA9C3xjdQ https://t.co/DwXELixwup,Space_Station,International Space Station,7703593,251,16716,True,False,Low Earth Orbit,25267,3105,185,1240,True,1421501.0,,
1634429414732705794,Sat Mar 11 05:41:53 +0000 2023,The hatch is now closed between the @SpaceX Dragon Endurance spacecraft and the space station as the crew prepares for undocking. @NASA TV coverage resumes at 1:45am ET. More details.. https://t.co/XOktgzcXff https://t.co/imGj4i8Hty,Space_Station,International Space Station,7703593,251,16716,True,False,Low Earth Orbit,21129,2369,117,891,True,1021904.0,,
1634420874127327233,Sat Mar 11 05:07:57 +0000 2023,Yesterday https://t.co/RP2vhWf6F3,elonmusk,Elon Musk,133012041,186,24007,True,False,,249799,15410,1314,9732,False,,,
1634343907827019776,Sat Mar 11 00:02:06 +0000 2023,https://t.co/tTMWOHcUom,elonmusk,Elon Musk,133012041,186,24007,True,False,,441541,52686,5362,28212,False,,,
1634336094664916992,Fri Mar 10 23:31:04 +0000 2023,"Chansley got 4 years in prison for a non-violent, police-escorted tour!?

Dave Chapelle was violently assaulted on stage by a guy with a knife. That guy got a $3000 fine &amp; no prison time.",greg_price11,Greg Price,247606,2627,45037,True,False,NoVA,379180,90479,4719,27550,False,31567256.0,,1632912031882805250
1634332829860646914,Fri Mar 10 23:18:05 +0000 2023,Free Jacob Chansley,ChuckCallesto,Chuck Callesto,470526,7855,38973,False,False,"Florida, USA",328270,87589,5560,22215,False,12723230.0,,1634039108958932995
1633985037375877120,Fri Mar 10 00:16:05 +0000 2023,"To be alerted about new tweets from any account, tap the bell symbol on the profile page https://t.co/GxfsWpduwV",elonmusk,Elon Musk,133012041,186,24007,True,False,,78031,6841,1500,11372,False,,,
1633963976945008643,Thu Mar 09 22:52:24 +0000 2023,https://t.co/IYlRo3fd59,elonmusk,Elon Musk,133012041,186,24007,True,False,,117112,7800,643,6406,False,,,
1633941127081652224,Thu Mar 09 21:21:36 +0000 2023,"Falcon 9 launches 40 @OneWeb satellites to orbit, first stage booster returns to Earth https://t.co/z7ReK0lfmH",SpaceX,SpaceX,28624898,100,6725,True,False,"Hawthorne, CA",32927,3493,147,977,True,,,
1633876365651918848,Thu Mar 09 17:04:16 +0000 2023,Concerning,mtaibbi,Matt Taibbi,1861655,4106,26251,True,False,"New Jersey, USA",142665,32598,1251,10013,False,,,1633830002742657027
1633767312565125120,Thu Mar 09 09:50:55 +0000 2023,Sometimes we miss here at Starbase https://t.co/B9yHxzReMK,elonmusk,Elon Musk,133012041,186,24007,True,False,,93668,4546,386,5175,False,,,
1633597893860020224,Wed Mar 08 22:37:43 +0000 2023,🤬 😂 https://t.co/zPXgj1cN5v,elonmusk,Elon Musk,133012041,186,24007,True,False,,371460,28253,3249,16572,False,,,
1633587625092169730,Wed Mar 08 21:56:55 +0000 2023,"&lt;Insert Cartridge&gt; 
&lt;Run Program&gt; https://t.co/8ZLIimykQ5",elonmusk,Elon Musk,133012041,186,24007,True,False,,363744,26594,3671,22862,False,,,
1633260357560172545,Wed Mar 08 00:16:28 +0000 2023,Twitter will be the place where world participants go to find the truth with the least amount of error. @elonmusk https://t.co/tTgABs3u37,Teslaconomics,Teslaconomics,121140,194,22068,False,False,Mars,44837,6025,604,4587,True,,,
1633196888554889216,Tue Mar 07 20:04:16 +0000 2023,"“We don’t want to be one of those lame, one-planet, civilizations, please!!” - @elonmusk today live on Morgan Stanley Conference.  🎬 https://t.co/pxOC6PwNSW",GailAlfarATX,Gail Alfar,60391,734,35787,False,False,Driving a Tesla in Texas!,18606,2139,148,1304,True,1127324.0,,
1598397624750866432,Thu Dec 01 19:24:25 +0000 2022,long time coming and excited to finally announce https://t.co/dFc8NBoFs0,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,32955,6419,1078,3698,False,,,
1567320386546589696,Wed Sep 07 01:14:34 +0000 2022,https://t.co/qRY7ltRkV0,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,132318,19337,5783,12790,False,,,
1545128982143651840,Thu Jul 07 19:33:51 +0000 2022,1 year of preparation 🔥 @FreeFire_NA #GarenaFreeFire #FF5thAnniversary #FFxJB https://t.co/U1YZpwJDrI https://t.co/mZ6pMfozXB,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,30074,5135,870,3861,False,,,
1493783548276314115,Wed Feb 16 03:05:25 +0000 2022,"Go for the Gold, Ladies!!!!!! Cannot wait to watch some of the best hockey ever!!! We are so proud of you! @HockeyCanada",justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,60911,5789,791,6235,False,,,
1476780154139537411,Fri Dec 31 05:00:00 +0000 2021,"[#2022WeverseCon] Countdown D-DAY
▶https://t.co/yEFJDQv1EG

Ticket sale ends 31 Dec, 7:30 PM (KST)
👉https://t.co/p6OqRdgLz7

#New_Era #BUMZU #DVWN #ENHYPEN #fromis_9 #JustinBieber #LeeHyun #SEVENTEEN #TXT",weverseofficial,Weverse,4846731,90,4316,True,False,대한민국 서울,19593,2741,127,1445,True,,,
1476682851324239873,Thu Dec 30 22:33:21 +0000 2021,The countdown begins…,weverseofficial,Weverse,4846731,90,4316,True,False,대한민국 서울,40167,6963,3441,3333,False,,,1476417766072762369
1476417766072762369,Thu Dec 30 05:00:00 +0000 2021,"[#2022WeverseCon] Countdown D-1 - @pledis_17
▶https://t.co/0NwYPqQzuC

#세븐틴 #SEVENTEEN #SVT #New_Era",weverseofficial,Weverse,4846731,90,4316,True,False,대한민국 서울,49899,9637,355,642,True,,,
1473812278948642818,Thu Dec 23 00:26:44 +0000 2021,"Hey @justinbieber if you’re in the Discord, you should give us a sign.

https://t.co/KtgZM54CpV",inBetweenersNFT,inBetweeners 🧸,37209,8,1382,False,False,"Naples, Italy",10358,1331,68,764,True,,,
1471765138646704128,Fri Dec 17 08:52:07 +0000 2021,"“Justin Bieber X Vespa”.⁣ Celebrating the Spirit of Freedom &amp; the Love of Design.⁣
#Dropping2022 @justinbieber #JustinBieberXVespa 
#Vespa #JustinBieber 

Discover more: https://t.co/ktuKz6bqLX https://t.co/h1OydpR4bO",Vespa_Official,Vespa,61013,128,2629,False,False,Pontedera (Italy),13306,2281,318,699,True,,,
1470547831434153984,Tue Dec 14 00:14:59 +0000 2021,https://t.co/j7EuZcZqnh,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,61542,7304,736,2351,False,,,
1470447446778163205,Mon Dec 13 17:36:05 +0000 2021,https://t.co/DukI6jdeRw,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,18494,2376,48,598,False,,1470447442558689289,
1470447442558689289,Mon Dec 13 17:36:04 +0000 2021,LOVE MY FAMILY. 📷: @RoryKramer https://t.co/R3EudJCBDc,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,31725,4173,91,993,False,,,
1470446796547801089,Mon Dec 13 17:33:30 +0000 2021,📷: @RoryKramer https://t.co/dZprzjWhKX,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,18372,2540,64,431,False,,1470446792588337155,
1470446792588337155,Mon Dec 13 17:33:29 +0000 2021,📷: @RoryKramer https://t.co/PgZIWI1OFr,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,34999,5047,329,802,False,,,
1470445997990031360,Mon Dec 13 17:30:20 +0000 2021,https://t.co/uelmNcE67n,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,39728,5218,631,663,False,,1470445993229537283,
1470445993229537283,Mon Dec 13 17:30:19 +0000 2021,London Town wif my baby Hailey Bieber https://t.co/mL8jjaMo6l,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,131849,16975,2581,4442,False,,,
1469028417123360771,Thu Dec 09 19:37:22 +0000 2021,"Sorry, but it's time to watch @justinbieber going in on this week’s So That Happened. Show us your level of Belieber on #YouTubeShorts. https://t.co/rXibllZHeJ",youtubemusic,YouTube Music,1097209,744,10365,True,False,,11575,2157,78,441,True,195268.0,,
1468115193381400577,Tue Dec 07 07:08:33 +0000 2021,"🎉2022 Weverse Con [New Era] is here!
We invite YOU to do the New Year Countdown with your favorite artists on #Weverse!
Meet the new era you've dreamt of at 2022 Weverse Con [New Era]!

👉https://t.co/7yosmQHIQv

#2022WeverseCon #New_Era https://t.co/3Eu8mdxnRI",weverseofficial,Weverse,4846731,90,4316,True,False,대한민국 서울,27942,6941,2731,487,True,,1468115178814586886,
1468115178814586886,Tue Dec 07 07:08:29 +0000 2021,"🎉2022 Weverse Con [New Era] 공연 개최 안내
팬과 아티스트가 함께하는 #위버스 의 새해 카운트다운 공연에 팬 여러분을 초대합니다.
‘2022 Weverse Con [New Era]’에서 우리가 꿈꿔 온 새로운 시대를 만나보세요.
자세한 내용은👉https://t.co/7yosmQHIQv

#2022WeverseCon #New_Era https://t.co/ScedXo2GNZ",weverseofficial,Weverse,4846731,90,4316,True,False,대한민국 서울,139914,33083,11583,1241,True,,,
1467954498085789696,Mon Dec 06 20:30:00 +0000 2021,“Virgil was here” https://t.co/SbFar4nqu9,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,72492,6209,167,860,False,,,
1467939930525548553,Mon Dec 06 19:32:07 +0000 2021,✨ @jaden https://t.co/oElpGUJB76,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,49555,3901,257,763,False,,,
1467938615225368588,Mon Dec 06 19:26:53 +0000 2021,🐻 @drewhouse https://t.co/NStXwvWiDb,justinbieber,Justin Bieber,113312581,279814,31282,True,False,The 6,25865,2999,202,751,False,,,
